COURSE, STUDENT-ID, LASTNAME, FIRSTNAME, ANSWERS, LETTER-GRADE, CORRECT-COUNT, INCORRECT-COUNT, BLANK-COUNT, TOTAL-POINTS
CS-250, 35048, CGAEB, RTIURNVEH, CAACAABCAABACBBABBCBCCBBBCBABAABCBBCACACBBABAAABBACBCCABBBABBCAACABAAABBBBACBAAAABABCAAAACBABCBAABAA, A, 100, 0, 0, 270
CS-250, 26088, VRLSBE, KODXMB, AACBBA AA AACCBBACABAAACAA BCAACCBABCCBBACAABB C BCCBBA AACBBABCC C B CACCABA CBB CCCCB A A CBBBCAA , F, 23, 62, 15, 52
CS-250, 16063, NOUFF, PXTPPE, CAAAB ACCBCCBAAAAACCCAAAAAB BBABCCACAAABAC ABBAABCCCCACA CBABCA AABABABACBAABA CACA CCBBCCABBACCAAAC, A, 38, 55, 7, 89
CS-250, 17925, JGVHCUG, IGRSJOLTQ, BCABABBBCCAABCBBBBAAAABAABAABABAACACABCACABBABBACCCCCAACCBABBABCCAABBACBCBAAACBCBBACBCBBCCBCABBACAAC, B, 35, 65, 0, 75
CS-250, 36155, BHFOK, SEQCGN, CCCBABABAACC BAA A  CB BBACBAACCA CACA B  CC CABCCACCBCBAAAA BBCC  BBCCBABBC A  A ACBA CAAACA CBAB C, C, 26, 54, 20, 66
CS-250, 14152, IQEKKJ, SHCSEBXG, ABACAAAABB ACBABCBAB ACABBBCA BACBCCAAAAACABB ACAAACAAAB BBBAACBCCBAC BABBAAACCCBAAAB  AABABCCACA CC, A, 36, 55, 9, 85
CS-250, 12409, WIGAOE, USUCFM, CBBB CACACCBA BBCCBBBAAAABBBBCABBCBCABABBCC ACBBACACCABABCCBCA ABCBACAACBCBCBCCACAAACAB BAABBCCCACAA, B, 35, 60, 5, 80
CS-250, 18187, UIIDSI, LWIMKNCX, BCAB BCAABBAAB AABCBCBCCABBBCBCCCABABC CBB ACACBAABBABBCACACBCCBAABABA CA ABACA BAABAACBBCACCABCAACC, B, 36, 57, 7, 83
CS-250, 14877, EXODEVFX, NMBSDTXNI, AACBBAB C CABCBC A CAAC BCACBCB ACABCCCBAABA BCCBCBBCBBACC   AA ACBCBBCC   CCBCCACC CABACBCA C AA CB, D, 23, 59, 18, 55
CS-250, 17018, DODQV, PODMWBRLL, CBCAAACBAAA ABB BBCA B  A C BBCB ACBCACACAA B  BCAAB BBCCBB AA ABBAAAABACABACCB  AABB C AACBB CBCC B, C, 26, 54, 20, 66
CS-250, 34589, MKBWW, MDPJE, CCCAAAC ACAAACBBAAA ACA BC CAAABBBCBABAB AAACCCAC BA ABCB CB CABAABACCABCBCC ACBBBBABABBAAACBCBBBBCB, B, 34, 56, 10, 80
